FINANCEIRO,ÓLEO&GÁS&DERIVADOS,MATERIAIS BÁSICOS,ALIMENTAÇÃO,UTILIDADE PÚBLICA,EDUCAÇÃO,TELECOM,VAREJO,CONSTRUÇÃO CIVIL,INDÚSTRIA AUTOMOBILÍSTICA,INDÚSTRIA GERAL,REALESTATE/MALLS,SERVIÇOS DE SAÚDE,SOFTWARE&SERVIÇOSDETI,LOCAÇÃO DE VEÍCULOS,TRANSPORTES,Ibov
ITUB4.SA,PETR4.SA,VALE3.SA,ABEV3.SA,ELET6.SA,COGN3.SA,VIVT4.SA,LAME4.SA,DTEX3.SA,LEVE3.SA,WEGE3.SA,MULT3.SA,ODPV3.SA,TOTS3.SA,RENT3.SA,GOLL4.SA,^BVSP
BBDC4.SA,BRDT3.SA,GGBR4.SA,BRFS3.SA,CPFE3.SA,YDUQ3.SA,TIMP3.SA,RADL3.SA,WHRL4.SA,POMO4.SA,EMBR3.SA,BRML3.SA,FLRY3.SA,LINX3.SA,MILS3.SA,AZUL4.SA,
ITSA4.SA,PRIO3.SA,CSNA3.SA,JBSS3.SA,EGIE3.SA,SEER3.SA,OIBR4.SA,LREN3.SA,EUCA4.SA,MYPK3.SA,TUPY3.SA,IGTA3.SA,PARD3.SA,VLID3.SA,LCAM3.SA,RAIL3.SA,
SANB11.SA,UGPA3.SA,USIM5.SA,MDIA3.SA,EQTL3.SA,ANIM3.SA,TELB3.SA,VVAR3.SA,ETER3.SA,FRAS3.SA,KEPL3.SA,ALSO3.SA,QUAL3.SA,POSI3.SA,MOVI3.SA,LOGN3.SA,
BBAS3.SA,BRKM5.SA,BRAP4.SA,MRFG3.SA,CMIG4.SA,,,BTOW3.SA,AZEV4.SA,RAPT4.SA,SHUL4.SA,GSHP3.SA,DASA3.SA,,,RLOG3.SA,
BPAN4.SA,UNIP6.SA,GOAU4.SA,BKBR3.SA,CPLE6.SA,,,HGTX3.SA,TCNO4.SA,TGMA3.SA,ROMI3.SA,,AALR3.SA,,,JSLG3.SA,
ABCB4.SA,,FESA4.SA,CAML3.SA,CESP6.SA,,,PNVL4.SA,,,HYPE3.SA,,BALM4.SA,,,STBP3.SA,
CIEL3.SA,,PMAM3.SA,BEEF3.SA,ALUP11.SA,,,ARZZ3.SA,,,OFSA3.SA,,,,,,
BBSE3.SA,,KLBN4.SA,CRFB3.SA,ENBR3.SA,,,MGLU3.SA,,,BOBR4.SA,,,,,,
B3SA3.SA,,SUZB3.SA,PCAR3.SA,TAEE11.SA,,,AMAR3.SA,,,,,,,,,
PSSA3.SA,,RANI4.SA,,TIET11.SA,,,LLIS3.SA,,,,,,,,,
SULA11.SA,,,,LIGT3.SA,,,MEAL3.SA,,,,,,,,,
IRBR3.SA,,,,TRPL4.SA,,,PFRM3.SA,,,,,,,,,
SMLS3.SA,,,,ENEV3.SA,,,,,,,,,,,,
,,,,ENGI11.SA,,,,,,,,,,,,
,,,,CCRO3.SA,,,,,,,,,,,,
,,,,SBSP3.SA,,,,,,,,,,,,
,,,,ECOR3.SA,,,,,,,,,,,,
,,,,SAPR4.SA,,,,,,,,,,,,
,,,,CGAS5.SA,,,,,,,,,,,,
,,,,CSMG3.SA,,,,,,,,,,,,
